key,region,section,system,option,unit,price
centralValley|MajAmountWaterHeater|addon||replace,Central Valley,Major Systems,Water Heater,Replace,flat,1500
centralValley|MajAmountWindow|addon||win,Central Valley,Major Systems,Windows,Windows,windows,500
centralValley|MajAmountWindow|addon||slider,Central Valley,Major Systems,Windows,Sliders,sliders,1000
centralValley|MajAmountChimney|addon||paint,Central Valley,Major Systems,Chimney / Fireplace,Paint,flat,500
centralValley|MajAmountChimney|addon||tile,Central Valley,Major Systems,Chimney / Fireplace,Tile,flat,2000
centralValley|MajAmountPool|addon||replaster,Central Valley,Major Systems,Pool,Replaster,flat,9500
centralValley|MajAmountPool|addon||equip,Central Valley,Major Systems,Pool,New equipment,flat,5000
centralValley|MajAmountPool|addon||startup,Central Valley,Major Systems,Pool,Startup,flat,1000
centralValley|GenAmountBathroom|addon||full,Central Valley,General Rehab,Bathroom,Full reno,count,3500
centralValley|GenAmountBathroom|addon||custom,Central Valley,General Rehab,Bathroom,Custom bathroom,count,5500
centralValley|GenAmountBathroom|addon||strategic,Central Valley,General Rehab,Bathroom,Strategic reno,count,1500
centralValley|GenAmountBathroom|addon||mirrors,Central Valley,General Rehab,Bathroom,Mirrors & lights,count,500
centralValley|GenAmountDoor|addon||hardware,Central Valley,General Rehab,Doors / Hardware,Change all hardware,intDoors,50
centralValley|GenAmountDoor|addon||paintd,Central Valley,General Rehab,Doors / Hardware,Paint doors,intDoors,50
centralValley|GenAmountDoor|addon||replace,Central Valley,General Rehab,Doors / Hardware,Replace doors,intDoors,200
centralValley|GenAmountDoor|addon||front,Central Valley,General Rehab,Doors / Hardware,Front door,frontDoors,750
centralValley|GenAmountDoor|addon||mirror,Central Valley,General Rehab,Doors / Hardware,Mirrored sliders,beds,500
centralValley|GenAmountElectricalFixture|addon||all,Central Valley,General Rehab,Electrical Fixtures,Change all in house,flat,2500
centralValley|GenAmountElectricalFixture|addon||bedlight,Central Valley,General Rehab,Electrical Fixtures,Add bedroom/bathroom lighting,bedsBaths,250
centralValley|GenAmountElectricalFixture|addon||extlight,Central Valley,General Rehab,Electrical Fixtures,Exterior lighting,flat,2000
centralValley|GenAmountFence|addon||dogear,Central Valley,General Rehab,Fences,Dog ear fencing,fenceLF,50
centralValley|GenAmountFlooring|addon||lvp,Central Valley,General Rehab,Flooring,LVP / base,sqft,4.5
centralValley|GenAmountFlooring|addon||carpet,Central Valley,General Rehab,Flooring,Carpet,sqft,3
centralValley|GenAmountGarage|addon||single,Central Valley,General Rehab,Garage,Single car door,garageDoors,1000
centralValley|GenAmountGarage|addon||double,Central Valley,General Rehab,Garage,Two car door,garageDoors,1500
centralValley|GenAmountGarage|addon||motor,Central Valley,General Rehab,Garage,New motor,garages,500
centralValley|GenAmountKitchen|addon||allnew,Central Valley,General Rehab,Kitchen,All new,flat,8500
centralValley|GenAmountKitchen|addon||counter,Central Valley,General Rehab,Kitchen,Countertops,flat,2500
centralValley|GenAmountKitchen|addon||paint,Central Valley,General Rehab,Kitchen,Paint,flat,1500
centralValley|GenAmountLockTrash|pick|demo|std,Central Valley,General Rehab,Locks / Trash Out / Demo,Standard,flat,1500
centralValley|GenAmountLockTrash|pick|demo|med,Central Valley,General Rehab,Locks / Trash Out / Demo,Medium,flat,3500
centralValley|GenAmountLockTrash|pick|demo|heavy,Central Valley,General Rehab,Locks / Trash Out / Demo,Heavy,flat,5500
centralValley|GenAmountMaterial|addon||std,Central Valley,General Rehab,Materials,Standard finish,flat,7500
centralValley|GenAmountMaterial|addon||big,Central Valley,General Rehab,Materials,Big House finish,flat,12500
centralValley|GenAmountPaint|addon||int,Central Valley,General Rehab,Paint,Interior,sqft,2
centralValley|GenAmountPaint|addon||ext,Central Valley,General Rehab,Paint,Exterior,sqft,2
centralValley|GenAmountPaint|addon||texture,Central Valley,General Rehab,Paint,Texture,sqft,1.5
centralValley|GenAmountPaint|addon||popcorn,Central Valley,General Rehab,Paint,Popcorn ceiling scrape,sqft,1.5
centralValley|GenAmountMisc|addon||concrete,Central Valley,General Rehab,Miscellaneous,Concrete work,sqft,15
centralValley|FinAmountAppliance|pick|appl|nofridge,Central Valley,Finishes,Appliances,"All new, no fridge",flat,1850
centralValley|FinAmountAppliance|pick|appl|fridge,Central Valley,Finishes,Appliances,All new w/ fridge,flat,3500
centralValley|FinAmountAppliance|pick|appl|r36,Central Valley,Finishes,Appliances,"36"" range w/ fridge",flat,4000
centralValley|FinAmountAppliance|pick|appl|r48,Central Valley,Finishes,Appliances,"48"" range w/ fridge",flat,5000
centralValley|FinAmountCleaning|addon||clean,Central Valley,Finishes,Cleaning,Cleaning,flat,500
centralValley|FinAmountStaging|pick|stage|high,Central Valley,Finishes,Staging,High end,flat,5000
centralValley|FinAmountStaging|pick|stage|cheap,Central Valley,Finishes,Staging,Cheap,flat,2500
centralValley|FinAmountStaging|pick|stage|estage,Central Valley,Finishes,Staging,E-stage,flat,550
centralValley|FinAmountMisc|addon||photos,Central Valley,Finishes,Miscellaneous,Photos,flat,300
